Image,Density,Thickness,Telea_PSNR,Telea_SSIM,Telea_Time,PDE_PSNR,PDE_SSIM,PDE_Time,Proposed_PSNR,Proposed_SSIM,Proposed_Time
kodim01.png,0.01,2,39.8955542642104,0.9940533712390787,0.006288051605224609,40.44133091062036,0.9946026031575729,0.004632472991943359,38.6430408591908,0.9926194554634309,0.18420052528381348
kodim02.png,0.01,2,39.20811315594779,0.9965247653253207,0.004779815673828125,39.34643837886691,0.9969185057795692,0.003493785858154297,38.78744091213768,0.9958114179715132,0.1386258602142334
kodim03.png,0.01,2,49.717048234065985,0.9980176312412254,0.006026744842529297,50.78525267340733,0.9984851996808146,0.004721403121948242,48.45894877556296,0.9976889531613939,0.1469109058380127
kodim01.png,0.01,4,36.411552674122504,0.989834105745087,0.007747173309326172,36.91834997330593,0.9906747537683126,0.0065004825592041016,35.90629541490168,0.9883253030142294,0.22063040733337402
kodim02.png,0.01,4,45.10077120781993,0.9948826399979639,0.004950761795043945,44.97617256984401,0.9949903221155886,0.0045506954193115234,44.633448615806486,0.994398836957738,0.18820810317993164
kodim03.png,0.01,4,44.08789639695599,0.9961115549541341,0.007279634475708008,44.2160653581703,0.996442739528629,0.006674051284790039,42.2821231731068,0.9948845043159094,0.22813940048217773
kodim01.png,0.03,2,35.68124295633749,0.9850138871734759,0.013947725296020508,36.085766761107124,0.9861461507542346,0.010112762451171875,34.76177413600859,0.9822765548111517,0.3714640140533447
kodim02.png,0.03,2,43.826387285592936,0.9918500495022462,0.012098312377929688,44.64456663020986,0.9927732569322779,0.012517452239990234,42.29161716982044,0.9902258300373227,0.41500353813171387
kodim03.png,0.03,2,45.73040168542546,0.9957828737434787,0.012865304946899414,45.77932128635025,0.9963625455417917,0.011682748794555664,44.150386057986466,0.9950418457710078,0.3568258285522461
kodim01.png,0.03,4,34.321332928184844,0.9809826564627319,0.011469125747680664,34.51265328654174,0.9815968763179986,0.009819984436035156,33.764631294789766,0.9787938303614384,0.40993833541870117
kodim02.png,0.03,4,41.618919330643116,0.9908582695850852,0.011813640594482422,42.04023987920871,0.9918037541995806,0.009872913360595703,40.68436703182574,0.9896273779853404,0.3843045234680176
kodim03.png,0.03,4,44.478954741028865,0.9936573295906622,0.011893272399902344,44.60652147689612,0.9940951771607454,0.010627985000610352,43.39544735062839,0.9928679477417525,0.4108920097351074
kodim01.png,0.05,2,33.8097050850141,0.976355419413625,0.021429061889648438,34.22206060629828,0.9784451096753114,0.014981746673583984,32.83625194975285,0.9712373151790027,0.6165750026702881
kodim02.png,0.05,2,41.223333131222766,0.9867630528304941,0.02165675163269043,41.74713399700802,0.9885355358074569,0.015965700149536133,39.67023019913719,0.9845210258496376,0.5958847999572754
kodim03.png,0.05,2,42.55077734390946,0.9916170537644824,0.0223996639251709,43.0185281246862,0.9929753270003254,0.017716646194458008,40.89081140923788,0.9896698870334492,0.6262075901031494
kodim01.png,0.05,4,32.60731584422147,0.9701827873582505,0.01757216453552246,32.78514817304391,0.9713492838770771,0.01482534408569336,32.098122081569485,0.9664305655968729,0.605229377746582
kodim02.png,0.05,4,39.22361221947383,0.984306965422888,0.015048503875732422,39.264632666077866,0.9847450246761204,0.01452016830444336,38.36968818009617,0.9824710896404141,0.5962650775909424
kodim03.png,0.05,4,40.631918152405,0.9885327343768512,0.01792764663696289,40.50075152634637,0.9890537984474389,0.01746225357055664,39.21864717957374,0.9862360396315798,0.7618670463562012
