Image,Class,Density,Thickness,Telea_PSNR,Telea_SSIM,Telea_Time,PDE_PSNR,PDE_SSIM,PDE_Time,Patch_PSNR,Patch_SSIM,Patch_Time,LaMa_PSNR,LaMa_SSIM,LaMa_Time,Proposed_PSNR,Proposed_SSIM,Proposed_Time,Ablation_NoEdges_PSNR,Ablation_NoEdges_SSIM,Ablation_NoEdges_Time,Ablation_NoTensor_PSNR,Ablation_NoTensor_SSIM,Ablation_NoTensor_Time
kodim01.png,Landscapes,0.01,2,39.8955542642104,0.9940533712390787,0.013110876083374023,40.44133091062036,0.9946026031575729,0.0049970149993896484,36.213371923248296,0.9893773616021578,0.4746742248535156,41.03616784375508,0.9947249912693114,3.994598627090454,39.12983047002185,0.9930968128954327,0.2064070701599121,39.0509467574847,0.9929959972414458,0.14851617813110352,39.3093559199731,0.9933971536133671,0.1267108917236328
kodim01.png,Landscapes,0.01,4,37.89780563489883,0.9938529258239915,0.004820108413696289,37.8461928076472,0.993810062146677,0.0071561336517333984,36.96852418159493,0.9907070563078862,0.5015125274658203,37.95551080126134,0.9933458888675798,2.6639413833618164,37.75406127461583,0.9934059033226103,0.19036865234375,37.66676111801449,0.9931585127790307,0.1497669219970703,37.81800068060716,0.9935775970314951,0.12781167030334473
kodim01.png,Landscapes,0.03,2,36.62941722700781,0.9864177873607085,0.014769315719604492,37.26952759891273,0.9880297060026905,0.01121211051940918,32.79782162030588,0.9751206759973311,1.1961116790771484,37.87969481440075,0.9877918097941083,2.594799518585205,36.01891661306455,0.9847785239744541,0.3829371929168701,35.9511163622225,0.9845613126207194,0.34675002098083496,36.05969652960836,0.9850619710364418,0.29619789123535156
kodim01.png,Landscapes,0.03,4,34.57701360047537,0.9816800361314391,0.011008739471435547,34.777991974086376,0.9823442828498082,0.009185552597045898,31.302336747213772,0.9705342123744941,1.0489320755004883,35.97716314771836,0.9850063537945838,2.636125087738037,34.306381123343265,0.980343863569393,0.3866100311279297,34.272010316806444,0.9801488524997364,0.3489954471588135,34.376922149351124,0.9806430519672751,0.2893357276916504
kodim01.png,Landscapes,0.05,2,33.593462451169415,0.974769278104959,0.018817424774169922,33.88891822720988,0.9764216984074462,0.015055179595947266,30.020002180463763,0.9566789943738806,1.721285343170166,34.312321957111145,0.9769510104489099,2.5218565464019775,33.237568270753314,0.9725684098967545,0.5800447463989258,33.17214451695729,0.9722215966828937,0.5392007827758789,33.26645043761982,0.9729596386148908,0.4517676830291748
kodim01.png,Landscapes,0.05,4,32.72570787985926,0.9709983290871033,0.016153573989868164,32.892483469975666,0.971906583490064,0.014102458953857422,29.593462074165235,0.9548861424669802,1.6636550426483154,34.01480567177977,0.9742673727097726,2.474982500076294,32.409939277050434,0.9684628841296498,0.6217365264892578,32.33064452145823,0.9680636078157306,0.5478718280792236,32.468617773372806,0.969278734508585,0.46555566787719727
kodim02.png,Landscapes,0.01,2,45.156354991746,0.9958229277811411,0.00531768798828125,45.35915290069214,0.9960053290384868,0.0044651031494140625,40.06595798614569,0.9928107580247691,0.4175758361816406,43.73684616533539,0.9935056784493775,2.536421060562134,44.881748047036545,0.9955992955952357,0.1793804168701172,44.74309974061673,0.9955418766377293,0.14621877670288086,44.889220285169884,0.99564414600819,0.11926794052124023
kodim02.png,Landscapes,0.01,4,43.30003481635895,0.9947166183956697,0.008415699005126953,43.561353547282934,0.9949570939019837,0.006916999816894531,39.294521428364654,0.9904877363352501,0.5353796482086182,43.23786896416812,0.9932624765528425,4.598468780517578,42.9901507714043,0.9942682325544201,0.22363829612731934,42.8528310253155,0.9941802197216204,0.17949271202087402,43.11096601897454,0.9945233055430819,0.1543126106262207
kodim02.png,Landscapes,0.03,2,42.70673347951583,0.9918670286140698,0.014585018157958984,43.33016852353801,0.9931615690256743,0.012125492095947266,38.85299870807545,0.9847889605373167,1.161268949508667,41.15523131187963,0.9843849580007867,2.519296169281006,42.26718326886548,0.9912734068514134,0.3846471309661865,42.20056511329851,0.9912216766677088,0.34717249870300293,42.382020809386134,0.991683306738046,0.29448699951171875
kodim02.png,Landscapes,0.03,4,42.92382997137422,0.9901099266142012,0.013177633285522461,43.22207853598465,0.9907922954996667,0.011015176773071289,38.475400739872434,0.9827155119527196,1.2076644897460938,42.03747390318586,0.984153881449548,2.502500295639038,42.43288391600189,0.9893253360824289,0.4388575553894043,42.29535085628858,0.989181518954882,0.3909904956817627,42.63876315127932,0.9898013171759779,0.32753825187683105
kodim02.png,Landscapes,0.05,2,41.028200800178844,0.9867801315251207,0.020667552947998047,41.57920664753818,0.9885264450101182,0.016097545623779297,35.51020807458829,0.9736694766591473,1.7223970890045166,39.899891983003386,0.976654132964113,2.5606443881988525,40.523359548883555,0.985704008741861,0.5672845840454102,40.40601542146244,0.9855694153893376,0.5263817310333252,40.64242551526939,0.9863643031702463,0.4440724849700928
kodim02.png,Landscapes,0.05,4,40.65941912165549,0.9856211801541406,0.018648147583007812,41.13916896836919,0.9871329225180193,0.015386581420898438,35.27285044152392,0.9722928324919451,1.6306068897247314,40.86547899597438,0.9803368059019976,2.5904359817504883,40.23019379940596,0.9852602813364525,0.5818448066711426,40.111188916581455,0.9849240228030873,0.5383944511413574,40.367109542570134,0.9857232009571767,0.4470031261444092
kodim03.png,Urban/Structures,0.01,2,52.196234129281116,0.9986023782216419,0.004965066909790039,52.77354182715786,0.9988746806892569,0.00429224967956543,51.90252164508685,0.9982365623456767,0.3959615230560303,47.60203061838684,0.9952359645924093,2.5247273445129395,51.35923354522802,0.9985679551956571,0.16395902633666992,51.2953967543287,0.9985347251525415,0.12280392646789551,51.842380993169456,0.9986438106376032,0.10388636589050293
kodim03.png,Urban/Structures,0.01,4,49.42003587048382,0.9982808436824239,0.005095481872558594,49.5930979854396,0.9984510153239349,0.004439353942871094,45.179806136914145,0.9974375444048217,0.37011218070983887,48.95620214776548,0.9974158002811858,2.573047161102295,48.447516851970825,0.9981115092120275,0.17283296585083008,48.42312411159655,0.9980683812522585,0.12934160232543945,48.761002277769435,0.9982586452141581,0.13632512092590332
kodim03.png,Urban/Structures,0.03,2,44.96324856595286,0.9946605960145262,0.014635324478149414,45.403291141368626,0.9955204405169487,0.010874032974243164,42.55845667638105,0.9924471468116067,1.1757984161376953,43.53548333726815,0.9899313555755592,2.6004831790924072,44.25048112977387,0.9943939476247529,0.3679802417755127,44.24912389007261,0.9943614899801828,0.3410167694091797,44.538996799674834,0.9946538949615267,0.2844808101654053
kodim03.png,Urban/Structures,0.03,4,41.51748575151324,0.9930960222809864,0.009969949722290039,41.597477630294875,0.9934579170712611,0.00950765609741211,37.84137444866577,0.9898877185000706,0.9755651950836182,43.452096557036704,0.9927279200847018,2.6886727809906006,41.05720286624432,0.9928338116639716,0.40230560302734375,40.865716718175555,0.9926205787145427,0.34343743324279785,41.101969453397814,0.9930192820809592,0.2777087688446045
kodim03.png,Urban/Structures,0.05,2,42.4852126161137,0.9913018666457333,0.020548105239868164,42.88817605450692,0.9925469544178739,0.01732778549194336,38.60907393409803,0.9852802678266016,1.6696298122406006,41.06964943423077,0.9820124598019304,2.590080499649048,42.057186502233094,0.9913218258812527,0.5895590782165527,42.06203081271334,0.991218602774616,0.5403223037719727,42.17984260317631,0.9915982160577266,0.46177196502685547
kodim03.png,Urban/Structures,0.05,4,40.631918152405,0.9885327343768512,0.017754316329956055,40.50075152634637,0.9890537984474389,0.01759648323059082,35.588012122548655,0.979666346646546,1.8818097114562988,40.116593100607155,0.983370981042925,2.6348798274993896,40.30760182465751,0.9883513165452635,0.6644556522369385,40.10120730504365,0.9879427656798274,0.6725821495056152,40.383860111182315,0.9885916680010962,0.5652346611022949
kodim04.png,Portraits/People,0.01,2,46.628664559539665,0.9963088446663289,0.006313800811767578,47.19446598387057,0.9966347658457183,0.00546717643737793,42.83082784978208,0.9930192806792139,0.5338485240936279,46.19516057646989,0.9953046573478516,2.640265703201294,46.049804502076476,0.9959742978908034,0.19286060333251953,46.029380617752935,0.99592312545215,0.14440321922302246,46.2032546348491,0.9961263797434664,0.12211298942565918
kodim04.png,Portraits/People,0.01,4,47.553140140413745,0.9966178780091633,0.004671573638916016,47.0624026934035,0.9965781140675486,0.00421452522277832,43.9185880397838,0.9943598747484207,0.40483713150024414,47.55283396252429,0.9959352654942535,2.5242502689361572,47.38205299365834,0.9965207834761062,0.17735624313354492,47.1845715800487,0.9964267482108973,0.13833045959472656,47.42390454900037,0.9966012525836061,0.11172294616699219
kodim04.png,Portraits/People,0.03,2,44.208398269180705,0.9926902798213644,0.014511346817016602,44.75460054845332,0.9936921142992544,0.01071476936340332,40.263217657553255,0.9853871153613106,1.1551361083984375,43.392970861119366,0.9891929164581157,2.5915615558624268,43.65629271066115,0.9920494278852171,0.3716292381286621,43.55180218346965,0.9919243996840662,0.33217954635620117,43.82400213821168,0.9924433672929013,0.28434324264526367
kodim04.png,Portraits/People,0.03,4,42.71901516626879,0.9906946124354253,0.012422800064086914,43.033168531635425,0.9912745288012749,0.010684728622436523,38.63994259546696,0.9813260837636552,1.1300103664398193,42.51311622885004,0.9887376263089012,2.5228607654571533,42.71983271040557,0.9904740828476196,0.40862464904785156,42.40662548099128,0.9901356765788195,0.36836767196655273,42.778063814643644,0.9907415685282924,0.3054075241088867
kodim04.png,Portraits/People,0.05,2,42.1146357931675,0.98868801332191,0.02253437042236328,42.853001385355576,0.990559421003456,0.018046140670776367,35.23977257330604,0.9725643643313405,1.7404420375823975,41.72429096502257,0.981941954588993,2.468113899230957,41.240600783112725,0.9878521987681684,0.5870175361633301,41.16718680202191,0.9877368365552569,0.5520658493041992,41.45526885315438,0.9884126684572094,0.45279550552368164
