Class,Density,Thickness,Telea_PSNR,Telea_SSIM,Telea_Time,PDE_PSNR,PDE_SSIM,PDE_Time,Patch_PSNR,Patch_SSIM,Patch_Time,LaMa_PSNR,LaMa_SSIM,LaMa_Time,Proposed_PSNR,Proposed_SSIM,Proposed_Time,Ablation_NoEdges_PSNR,Ablation_NoEdges_SSIM,Ablation_NoEdges_Time,Ablation_NoTensor_PSNR,Ablation_NoTensor_SSIM,Ablation_NoTensor_Time
High-Texture/Detail,0.030000000000000002,3.0,39.7593418921081,0.990474843923137,0.013162831465403238,40.35553778317176,0.9915238353245487,0.011275927225748697,35.68291808501142,0.9823074416684522,1.241100721889072,41.209025834639405,0.989434018400131,2.8543643752733865,39.25513213449077,0.9897191700542931,0.3867637515068054,39.16548723795336,0.9895237284306675,0.3576858838399251,39.24677215225213,0.9898696961177796,0.3011826144324409
Landscapes,0.03,3.0,39.123411112142904,0.9886858916329664,0.013010127203805106,39.51241576980424,0.9895564785773574,0.010595622516813733,34.68451600042573,0.9786377089258896,1.1097788413365681,39.268803966315986,0.9861096772221666,2.711858045487177,38.71467330243383,0.987966797089172,0.3833733456475394,38.642886668250995,0.9877900451534084,0.34984542642320904,38.74030034292139,0.9881896321724349,0.2939291170665196
Portraits/People,0.030000000000000002,3.0,41.88226045069416,0.991376178567523,0.012602011362711588,42.25718759257846,0.9922583975011997,0.010661625862121582,37.26874658689261,0.9829577931043443,1.1182058572769165,42.14772923345562,0.9891462436075109,2.6390876452128094,41.36940282778417,0.9907495430923646,0.3825696070988973,41.30004203945396,0.9905727977985808,0.3506744543711344,41.41091802298899,0.9910754785693775,0.2926354805628459
Urban/Structures,0.030000000000000002,3.0,38.76699743065566,0.9897257807028134,0.012706451945834689,39.21545689850281,0.9908414136845367,0.01080754730436537,34.90985624062215,0.9814733692678954,1.166578961743249,39.91831335714276,0.98954617694422,2.7014012071821423,38.21810036810456,0.9886193536024841,0.3986942436960008,38.134502715290516,0.9884338807804975,0.37014300955666435,38.28469993196036,0.988963725052546,0.3128350443310208
